time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-04-24 09:44:29.766 UTC, ,125,3160893,1080,15040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,27367751680,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1556099068881, , , , ,3145728,1298, , , ,9,4,26,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,25306224,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-24 09:44:58.669 UTC, ,589,3164957,1184,18640, , ,4, ,79, , , , , , , , , ,4,4, , , , ,2,5, ,67, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,27367751680,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1556099068881, , , , ,3145728,3080, , , ,4, ,8, ,2, , , ,3,2, , , , , , , , , , , ,4096,2,1857,2, , , , , , , , ,25914464,-1, , , , , , ,95, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, ,26, ,15, , ,3, , , , , , 
2019-04-24 09:50:07.986 UTC, ,125,3160317,1184,14384,80, ,3, ,27,3,0.11, , , , , , , ,3,3, ,2, ,2,1,5, ,23,11, , , , , , , , , , , , , ,4098,2, ,3176, , , , ,4143,27364442112,24,24, , , , , ,1,80, , , , , , , , , , , , , , , , , , , , , , , , , ,4143, ,1556099406970, , , , ,3145728,4098, , ,19,0, , , ,3, , , ,3, , , , ,19,1,2048,1, , , , ,102987,31, , , , , , , , , , ,25980920,-1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-24 09:56:18.236 UTC, ,125,3169029,1416,23176, , ,5, ,109,5,0.05, , , , , , , ,5,5, ,35, ,2,3,6, ,62,12, , , , , , , , , , , , , ,7457,3,5894,5894,1, ,5,10,7505,27365179392,19,19, , , , , ,1,120, , , , , , , , , , , , , , , , , , , , , , , , , ,7505, ,1556099777180, , , , ,3145728,7457, , ,23,3,1,4,1,5,1, , ,3,2, , , ,23,1,2048,1, , , , ,113256,37,1681,1, , , , , , , , ,26653856,-1, , , , , , ,61, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-24 09:56:33.567 UTC, ,125,3160693,1184,14840, , ,3, ,38,3,0.08, , , , , , , ,3,3, ,3, ,2,1,5, ,28,11, , , , , , , , , , , , , ,8398,4,7647,7647,1,1,2,5,8446,27365044224,16,16, , , , , ,1,138, , , , , , , , , , , , , , , , , , , , , , , , , ,8446, ,1556099792225, , , , ,3145728,8398, , ,19,4,1,4,1,4,1, , ,3,2, , , ,19, ,2048,1, , , , ,105109,32,869,1, , , , , , , , ,25885720,-1, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-24 09:57:13.150 UTC, ,125,3160413,1184,14480,80, ,3,1,25,3,0.12, , , , , , , ,3,3, ,2,1,2,1,5, ,23,12, , , , , , , , , , , , , ,8398,4, ,7647, , , , ,8446,27364302848,16,16, , , , , ,2,148, , , , , , , , , , , , , , , , , , , , , , , , , ,8446, ,1556099832267, , , , ,3145728,8398, , ,22,0, , , ,3, , , ,3, , , , ,22,1,2048,1, , , , ,119519,34, , , , , , , , , , ,26500240,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-24 09:57:31.922 UTC, ,125,3160845,1184,14992, , ,3,1,50,3,0.06, , , , , , , ,3,3, ,18,1,2,1,5, ,27,12, , , , , , , , , , , , , ,10139,5,9401,9401,1,2,1,4,10187,27363975168,15,15, , , , , ,2,168, , , , , , , , , , , , , , , , , , , , , , , , , ,10187, ,1556099850740, , , , ,3145728,10139, , ,21,5,1,5,1,4,1, , ,3,2, , , ,21, ,2048,1, , , , ,123615,36,856,1, , , , , , , , ,25967952,-1, , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-24 09:58:06.731 UTC, ,125,3169229,1416,23376, , ,5,2,106,5,0.05, , , , , , , ,5,5, ,35,2,2,3,6, ,63,14, , , , , , , , , , , , , ,13520,6,11871,11871,1, ,5,10,13568,27363512320,-1,-1, , , , , ,2,218, , , , , , , , , , , , , , , , , , , , , , , , , ,13568, ,1556099885612, , , , ,3145728,13520, , ,27,6,1,9,1,4,1, , ,3,2, , , ,27, ,2048,1, , , , ,131924,42,1767,1, , , , , , , , ,26628376,-1, , , , , , ,55, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-24 09:58:24.942 UTC, ,125,3165805,1416,19816,136, ,4, ,79,4,0.05, , , , , , , ,4,4, ,20, ,2,2,5, ,52,16, , , , , , , , , , , , , ,15469,7,14509,14509,1,2,2,6,15517,27363184640,13,13, , , , , ,2,256, , , , , , , , , , , , , , , , , , , , , , , , , ,15517, ,1556099903925, , , , ,3145728,15469, , ,26,4,1,4,1,5,1, , ,3,2, , , ,26,1,2048,1, , , , ,128005,42,1078,1, , , , , , , , ,27242688,-1, , , , , , ,42, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-24 09:59:00.801 UTC, ,125,3163981,1184,18128, , ,4,2,80,4,0.05, , , , , , , ,4,4, ,21,2,2,2,6, ,49,16, , , , , , , , , , , , , ,17682,8,16531,16531,1, ,4,8,17730,27362914304,10,10, , , , , ,3,293, , , , , , , , , , , , , , , , , , , , , , , , , ,17730, ,1556099939253, , , , ,3145728,17682, , ,28,15,1,15,1,5,1, , ,3,2, , , ,28,1,2048,1, , , , ,148514,46,1269,1, , , , , , , , ,27251592,-1, , , , , , ,37, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
