time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-04-24 10:20:04.871 UTC, ,125,3159725,952,13872, , ,3, ,7, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,27366322176,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1556101204027, , , , ,3145728,1218, , , ,9,4,25,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,24593336,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-24 10:21:04.873 UTC, ,125,3173109,1648,27256, , ,6, ,98, , , , , , , , , ,6,6, , , , ,4,6, ,112, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,27364675584,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1556101204027, , , , ,3145728,2918, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,25201504,-1, , , , , , ,162, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26, ,90, , ,3, , , , , , 
2019-04-24 10:21:15.952 UTC, ,589,3164957,1184,18640, , ,4, ,35, , , , , , , , , ,4,4, , , , ,2,5, ,47, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,27364675584,40,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1556101204027, , , , ,3145728,3080, , , ,6, ,11, ,2, , , ,3,2, , , , , , , , , , , ,4096,2,1857,2, , , , , , , , ,25809744,-1, , , , , , ,35, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , ,2, , , , , , , , , 
2019-04-24 10:21:23.775 UTC, ,125,3160373,1184,14384,136, ,3, ,28,3,0.11, , , , , , , ,3,3, ,2, ,2,1,5, ,24,11, , , , , , , , , , , , , ,4098,2, ,3176, , , , ,4143,27363885056,24,24, , , , , ,1,80, , , , , , , , , , , , , , , , , , , , , , , , , ,4143, ,1556101282949, , , , ,3145728,4098, , ,19,0, , , ,3, , , ,3, , , , ,19,1,2048,1, , , , ,102987,31, , , , , , , , , , ,25991416,-1, , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-24 10:22:23.782 UTC, ,125,3195149,2808,49296, , ,11, ,181,1,0.01, , , , , , , ,11,11, , , ,1,9,11, ,141, , , , , , , , , , , , , , ,4098,2, ,3176, , , , ,4143,27367030784,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4143, ,1556101282949, , , , ,3145728,8275, , ,2,0, , , , , , , ,3, , , , ,2,1, , , , , , ,4096,2, , , , , , , , , , ,27207856,-1, , , , , , ,267, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,96, ,105, , ,2, , , , , , 
2019-04-24 10:23:23.793 UTC, ,589,3165485,1184,19168, , ,4, ,119, , , , , , , , , ,4,4, , , ,1,2,5, ,229, , , , , , , , , , , , , , ,4098,2, ,3176, , , , ,8812,27366612992,11,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8812, ,1556101282949, , , , ,3145728,8770, , , ,9, ,44, ,2, , , ,3,7, , , , ,1, , , , , , ,4096,2,4669,7, , , , , , , , ,27207856,-1, , , , , , ,153, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,2, , , ,31, , , , , , , , , 
2019-04-24 10:24:23.797 UTC, ,589,3174093,1648,27776, , ,6, ,42, , , , , , , , , ,6,6, , , ,1,4,6, ,13, , , , , , , , , , , , , , ,4098,2, ,3176, , , , ,8812,27366092800,11,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8812, ,1556101282949, , , , ,3145728,10011, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,28424192,-1, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30, , , , , , , , , , , 
2019-04-24 10:25:16.184 UTC, ,589,3165485,1184,19168, , ,4, ,155, , , , , , , , , ,4,4, , , ,1,2,5, ,253, , , , , , , , , , , , , , ,4098,2, ,3176, , , , ,11199,27365502976,8,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11199, ,1556101282949, , , , ,3145728,11156, , , ,5, ,18, , , , , ,3,4, , , , ,1, , , , , , , , ,2387,4, , , , , , , , ,28424192,-1, , , , , , ,247, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,3, ,17, ,101, , , , , , , , , 
2019-04-24 10:27:10.500 UTC, ,125,3160261,1184,14408, , ,3, ,41,3,0.07, , , , , , , ,3,3, ,2, ,2,1,5, ,27,11, , , , , , , , , , , , , ,12229,3, ,11252, , , , ,12274,27364376576,-1,-1, , , , , ,2,309, , , , , , , , , , , , , , , , , , , , , , , , , ,12274, ,1556101629543, , , , ,3145728,12229, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,117465,32, , , , , , , , , , ,25727632,-1, , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-04-24 10:28:10.513 UTC, ,125,3172645,1648,26792, , ,6, ,82,1,0.01, , , , , , , ,6,6, , , ,1,4,6, ,76,1, , , , , , , , , , , , , ,12229,3, ,11252, , , , ,12274,27360595968,10,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12274, ,1556101629543, , , , ,3145728,13847, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6176,4, , , , , , , , , , ,26944040,-1, , , , , , ,115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26, ,52, , ,3, , , , , , 
