time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-05-17 15:50:05.190 UTC, ,125,3163349,1648,17416,80, ,3, ,31,3,0.10, , , , , , , ,3,3, ,2, ,2,1,4, ,30,13, , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21202862080,28,28, , , , , ,1,121, , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , ,22,0, , , ,3, , , ,3, , , , ,22,1,2048,1, , , , ,101073,32, , , , , , , , ,1,7,16894976,-1, , , , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 15:51:05.192 UTC, ,125,3163269,1648,17416, , ,3, ,1, , , , , , , , , ,3,3, , , ,2,1,4, ,2,1, , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200510976,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , ,2080,2, , , , , , , , ,123,97,22795840,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 15:52:05.195 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200343040,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,150,81,51145280,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 15:53:05.197 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200277504,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,154,89,37546048,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 15:54:05.200 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200355328,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,133,73,16610368,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 15:55:05.203 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200355328,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,153,87,36567104,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 15:56:05.205 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200470016,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,153,87,24020032,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 15:57:05.206 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200461824,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,154,94,82778688,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 15:58:05.208 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200457728,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,154,90,52403776,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-17 15:59:05.211 UTC, ,125,3163269,1648,17416, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,4, , , , , , , , , , , , , , , , ,7609,3, ,7009, , , , ,7654,21200318464,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7654, ,1558108204514, , , , ,3145728,7609, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,130,67,52439616,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
